ENVST-UA,Environmental Studies
DGS07-DN,Diagnostic Sciences
SCA-SHU,Social and Cultural Analysis
CONM1-GC,Construction Management MA/GC
IS-UY,Interdisciplinary Studies
SPCED-UE,Special Education
ECON-UB,Economics
DEVE1-GC,RE Development
PCL07-DN,Preclinical Skills
DANC-UT,Dance
MPAP-NE,MPAP Summer Programs
TESOL-GE,Teaching English as a Second Language
ENVR-UH,The Environment
AWS-UF,Advanced Writing Studio
FREN-SHU,French Language
SRTH-UF,Senior Thesis
SPAN-GA,Spanish
BSPA-GB,Business & Society
ME-GY,Mechanical Engineering
INTRL-GA,International Relations
OT-GE,Occupational Therapy
SOCS-SHU,Social Science
HEL-GA,Hellenic Studies
OPMG-UB,Operations Management
ENSTU-UF,Environmental Studies
PWRT1-GC,Professional Writing
EURO-UA,European and Mediterranean Studies
FRENL-UH,French Language
CHEM-SHU,Chemistry
MPAVP-UE,Music Instrumental: Voice
GFMTV-GT,Graduate Film & TV
HIST-UH,History
LANED-GE,Language Education
AE-UY,Aerospace Engineering
TCSM1-UC,Sports Management
RWLD1-GC,Real World Graduate
BPEP-UB,Business and Political Economy Program
NODEP-UA,Non-Departmental
BIOE-GA,Bioethics
COR1-GB,Core Course
EENG-SHU,Electrical Engineering
CLASS-GA,Classics
FINC-GB,Finance
CE-UY,Civil & Urban Engineering
MPAET-UE,Educational Theatre
ACE-UE,Advanced College Essay
IUCD-GE,Inter-University Doctoral Consortium
IND-UF,Independent Study
ECE-GY,Elect. Engineering - ECE GRAD
MPAME-GE,Music Education
NEUR-SHU,Neural Science
ITAL-GA,Italian
MAINT-UF,Maintenance
JOUR-SHU,Journalism
HEOP-UE,Higher Education Opportunities Program
URPL-GP,Urban planning course
BMIN-GA,Biomedical Informatics
CSTS-UH,Core: Structures of Thought & Society
SCIED-UE,Science Education
STAT-GB,Statistics & Operations Rsrch
CRWR-SHU,Creative Writing
PSYCH-UH,Psychology
HEL-UA,Hellenic Studies
ECII-UF,Economics II
MAINT-GS,Maintenance
INTE-GE,International Education
AELS-UF,Academic English for Liberal Studies
ECED-GE,Early Childhood
MPADE-GE,Dance Education
FOOD-UE,Food Studies
MPAJZ-GE,Music Instrumental: Jazz
BASCI-DN,Basic Sciences
JOUR-UA,Journalism
MGMT-GB,Management
STS-UY,Science and Technology
ETHIC-CD,Ethics
PHTI-UT,Photography and Imaging
PCL08-DN,Preclinical Skills
CRWRI-UA,Creative Writing
CE-GY,Civil & Urban Engineering
EDLED-UE,Educational Leadership
MAINT-GE,Maintenance
ENGED-GE,English Education
MATH-UH,Mathematics
CS-GY,Computer Science
DRSH-NZ,Drisha at NYU Bronfman Center
INDIV-UG,Individualized Projects
APSY-UE,Applied Psychology
MPAPS-UE,Music Instrumental: Percussion
PHED-UE,Philosophy of Education
PS-UY,Psychology
GS-UY,General Studies
PCL03-DN,Preclinical Skills
MN-GY,Manufacturing Engineering
PSYC1-UC,Psychology
ISMM1-UC,Information Systems Management
MED-MD,Medicine
SASEM-UG,Study Away Seminar
HSAD-NI,High School Academy
HUMN1-UC,Humanities
AFRS-GA,Africana Studies
ITPG-UT,Interactive Telecommunications
HONR-UB,Honors Seminar (non-credit)
PRCC1-GC,Public Relations MS
ACCT-GB,Accounting
ISPEC-UT,Int'l Pgms TSOA Special Pgms
ACTG-GT,Graduate Acting
DM-UY,Integrated Digital Media
ARTT-NE,Summer Art Intensive
SAHS-UE,Student Affairs Honors & Seminars
HIST1-UC,History
LING-UA,Linguistics
PERF-GT,Performance Studies
XTR1-GB,Exec MBA Intl: Trium
CHEM-UA,Chemistry
CBE-GY,Chemical & Biological Engineerng
SPAN-SHU,Spanish Language
UNDSW-US,Undergrad Social Work
DWPG-GT,Dramatic Writing
CLS06-DN,Clinical Sciences
